No,report,report_info,order,date_report,date_submission,date_confirmation,province,location,lat,long,start,end,species,susceptible,cases,deaths,destroyed,slaughtered
67,en_fup_0000029084_20190110_125143,other report ,1,08/01/2019,08/01/2019,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Shenbei Street,42.0225,123.2932,01/08/2018,01/10/2018,Swine,19420.0,47.0,47,19373,0.0
67,en_fup_0000029084_20190110_125143,other report ,2,08/01/2019,08/01/2019,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Cailuo yi village,42.02,123.427,07/08/2018,04/12/2018,Swine,160.0,3.0,0,160,0.0
67,en_fup_0000029084_20190110_125143,other report ,3,08/01/2019,08/01/2019,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Cailuo yi village,42.02,123.427,07/08/2018,04/12/2018,Swine,55.0,1.0,0,55,0.0
67,en_fup_0000029084_20190110_125143,other report ,4,08/01/2019,08/01/2019,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Cailuo yi village,42.02,123.427,07/08/2018,04/12/2018,Swine,216.0,2.0,0,216,0.0
67,en_fup_0000029084_20190110_125143,other report ,5,08/01/2019,08/01/2019,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Yinjia village,42.02,123.366,07/08/2018,04/12/2018,Swine,140.0,1.0,0,140,0.0
67,en_fup_0000029084_20190110_125143,other report ,6,08/01/2019,08/01/2019,03/08/2018,Liaoning,Yingkou_Dashiqiao City_Village_Dagaokan Village _Gaokan Township,40.785,122.381,28/09/2018,22/11/2018,Swine,130.0,22.0,22,108,0.0
67,en_fup_0000029084_20190110_125143,other report ,7,08/01/2019,08/01/2019,03/08/2018,Liaoning,Yingkou_Laobian District_Village_Cuijia Village  Lunan_Township,40.695,122.311,28/09/2018,22/11/2018,Swine,9.0,2.0,2,7,0.0
67,en_fup_0000029084_20190110_125143,other report ,8,08/01/2019,08/01/2019,03/08/2018,Liaoning,Yingkou_Dashiqiao City_Village_Gunzipao Village  Qikou_Town,40.828,122.42,28/09/2018,22/11/2018,Swine,239.0,78.0,78,161,0.0
67,en_fup_0000029084_20190110_125143,other report ,9,08/01/2019,08/01/2019,03/08/2018,Liaoning,Yingkou_Dashiqiao City_Village_Xinxing Village  Qikou_Township,40.886,122.486,02/10/2018,22/11/2018,Swine,1337.0,65.0,20,1317,0.0
67,en_fup_0000029084_20190110_125143,other report ,10,08/01/2019,08/01/2019,03/08/2018,Liaoning,Yingkou_Dashiqiao City_Village_Gejia Village  Gaokan_Township,40.806,122.498,02/10/2018,22/11/2018,Swine,2608.0,127.0,27,2581,0.0
67,en_fup_0000029084_20190110_125143,other report ,11,08/01/2019,08/01/2019,03/08/2018,Liaoning,Yingkou_Laobian District_Village_Xinli Village  Lunan_Township,40.67,122.409,02/10/2018,22/11/2018,Swine,9382.0,142.0,46,9336,0.0
67,en_fup_0000029084_20190110_125143,other report ,12,08/01/2019,08/01/2019,03/08/2018,Liaoning,Anshan_Tai an_Farm_Fujia Village  Fujia_Township,41.259,122.341,06/10/2018,27/11/2018,Swine,909.0,160.0,160,749,0.0
67,en_fup_0000029084_20190110_125143,other report ,13,08/01/2019,08/01/2019,03/08/2018,Liaoning,Dalian_Pulandian District_Farm_Anjia Village Lianshan_Street,39.554,122.195,09/10/2018,25/11/2018,Swine,1353.0,20.0,11,1342,0.0
67,en_fup_0000029084_20190110_125143,other report ,14,08/01/2019,08/01/2019,03/08/2018,Liaoning,Anshan_Tai an_Village_Maojia Village Xintai_Township,41.292,122.289,10/10/2018,27/11/2018,Swine,1643.0,88.0,72,1571,0.0
67,en_fup_0000029084_20190110_125143,other report ,15,08/01/2019,08/01/2019,03/08/2018,Liaoning,Anshan_Tai an_Backyard_Weijia Village  Sanglin_Township,41.486,122.278,12/10/2018,27/11/2018,Swine,81.0,14.0,14,67,0.0
67,en_fup_0000029084_20190110_125143,other report ,16,08/01/2019,08/01/2019,03/08/2018,Liaoning,Panjin_Dawa DIistrict_Backyard_Shuguang Village _Wangjia Street,40.572,122.222,13/10/2018,03/12/2018,Swine,1571.0,109.0,109,1462,0.0
67,en_fup_0000029084_20190110_125143,other report ,17,08/01/2019,08/01/2019,03/08/2018,Liaoning,Panjin_Dawa District_Backyard_Wangjia Village  Wangjia_Street,40.5611,122.359,13/10/2018,03/12/2018,Swine,270.0,129.0,129,141,0.0
67,en_fup_0000029084_20190110_125143,other report ,18,08/01/2019,08/01/2019,03/08/2018,Liaoning,Jinzhou_Beizhen City_Farm_Xinli Farm,41.2555,122.5,13/10/2018,04/12/2018,Swine,19938.0,221.0,221,19717,0.0
67,en_fup_0000029084_20190110_125143,other report ,19,08/01/2019,08/01/2019,03/08/2018,Liaoning,Tieling_Kaiyuan City_Farm_Hedong Village _Qingyunbu Township,42.334,123.522,14/10/2018,29/11/2018,Swine,6640.0,50.0,14,6626,0.0
67,en_fup_0000029084_20190110_125143,other report ,20,08/01/2019,08/01/2019,03/08/2018,Liaoning,Panjin_Dawa District_Farm_Xihai Village  Wangjia_Street,41.11,121.5831,14/10/2018,03/12/2018,Swine,3223.0,31.0,20,3203,0.0
67,en_fup_0000029084_20190110_125143,other report ,21,08/01/2019,08/01/2019,03/08/2018,Liaoning,Panjin_Dawa District_Farm_Xiaoqing Village _Qingshui Township,40.5611,122.359,14/10/2018,03/12/2018,Swine,4323.0,1030.0,1030,3293,0.0
67,en_fup_0000029084_20190110_125143,other report ,22,08/01/2019,08/01/2019,03/08/2018,Liaoning,Panjin_Dawa District_Backyard_Hanjia Village  Xian_Township,40.5655,122.1348,15/10/2018,03/12/2018,Swine,161.0,43.0,43,118,0.0
68,en_fup_0000029085_20190102_163730,other report ,1,30/12/2018,31/12/2018,17/10/2018,Shanxi,Datong_Zuoyun_Backyard_Zhangjiachang Township,40.117,112.5034,16/10/2018,NA,Swine,160.0,7.0,4,156,0.0
68,en_fup_0000029085_20190102_163730,other report ,2,30/12/2018,31/12/2018,17/10/2018,Shanxi,Taiyuan_Yangqu_Farm_Nitun Village Nitun_Township,38.093,112.554,25/10/2018,NA,Swine,210.0,75.0,47,163,0.0
68,en_fup_0000029085_20190102_163730,other report ,3,30/12/2018,31/12/2018,17/10/2018,Shanxi,Taiyuan_Yangqu_Backyard_Xizhuang_Village Xilingjing_Township,38.132,112.328,30/10/2018,NA,Swine,175.0,25.0,7,168,0.0
68,en_fup_0000029085_20190102_163730,other report ,4,30/12/2018,31/12/2018,17/10/2018,Shanxi,Linfen_Yaodu District_Backyard_Xinshi Village  Jiade_Township,35.993,111.493,03/12/2018,NA,Swine,28916.0,45.0,35,28881,0.0
68,en_fup_0000029085_20190102_163730, (this report ,5,30/12/2018,31/12/2018,17/10/2018,Shanxi,Jincheng_Zezhou_Farm_Baofu Village Gaodu_Township,35.5986,112.9908,27/12/2018,NA,Swine,8016.0,24.0,7,8009,0.0
69,en_fup_0000029090_20190109_192644,other report ,1,08/01/2019,08/01/2019,16/08/2018,Henan,Zhengzhou_Slaughterhouse_Economic Development_Zone,34.724,113.848,14/08/2018,01/10/2018,Swine,1806.0,30.0,30,1776,0.0
69,en_fup_0000029090_20190109_192644,other report ,2,08/01/2019,08/01/2019,16/08/2018,Henan,Xinxiang_Huojia_Farm_Chengcao Village _Taishan Township,35.123,113.433,10/09/2018,31/10/2018,Swine,2087.0,148.0,64,2023,0.0
70,en_fup_0000029091_20190109_191641,other report ,1,08/01/2019,08/01/2019,19/08/2018,Jiangsu,Lianyungang_Haizhou District_Farm_Baofu Village,34.628,119.054,15/08/2018,04/10/2018,Swine,14686.0,615.0,88,14598,0.0
70,en_fup_0000029091_20190109_191641,other report ,2,08/01/2019,08/01/2019,19/08/2018,Jiangsu,Wuxi_Yixin City_Farm_Chengdian village _Yangxiang township,31.315,119.352,29/08/2018,17/10/2018,Swine,97.0,12.0,9,88,0.0
71,en_fup_0000029092_20190109_195342,other report ,1,08/01/2019,08/01/2019,22/08/2018,Zhejiang,Wenzhou_Yueqing_Farm_Zhang ao Village,28.2,120.94,17/08/2018,10/10/2018,Swine,1864.0,430.0,340,1524,0.0
71,en_fup_0000029092_20190109_195342,other report ,2,08/01/2019,08/01/2019,22/08/2018,Zhejiang,Taizhou_Sanmen_Farm_Dayu Village Pubagang_Township,28.94,121.625,18/10/2018,04/12/2018,Swine,2280.0,56.0,56,2224,0.0
72,en_fup_0000029094_20190109_203132,other report ,1,08/01/2019,08/01/2019,30/08/2018,Anhui,Wuhu_Nanling_Farm_Yanhe Village,30.891,118.475,17/08/2018,18/10/2018,Swine,459.0,185.0,80,379,0.0
72,en_fup_0000029094_20190109_203132,other report ,2,08/01/2019,08/01/2019,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Liufu Village  Five Star_Township,30.595,118.461,19/08/2018,17/10/2018,Swine,440.0,153.0,111,329,0.0
72,en_fup_0000029094_20190109_203132,other report ,3,08/01/2019,08/01/2019,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Gouzu Village  Old_Spring Township,30.594,118.393,22/08/2018,17/10/2018,Swine,285.0,63.0,42,243,0.0
72,en_fup_0000029094_20190109_203132,other report ,4,08/01/2019,08/01/2019,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Zhugong Village  Jinba_Township,30.524,118.461,27/08/2018,17/10/2018,Swine,308.0,152.0,83,225,0.0
72,en_fup_0000029094_20190109_203132,other report ,5,08/01/2019,08/01/2019,30/08/2018,Anhui,Wuhu_Nanling_Farm_Longtan Village  Xuzhen_Township,31.089,118.406,31/08/2018,20/10/2018,Swine,30.0,13.0,4,26,0.0
72,en_fup_0000029094_20190109_203132,other report ,6,08/01/2019,08/01/2019,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Tianhu Township,30.867,118.643,31/08/2018,20/10/2018,Swine,52.0,15.0,15,37,0.0
72,en_fup_0000029094_20190109_203132,other report ,7,08/01/2019,08/01/2019,30/08/2018,Anhui,Chuzhou_Fengyang_Farm_Wugang Village  Damiao_Township,32.782,117.449,02/09/2018,20/10/2018,Swine,886.0,62.0,22,864,0.0
72,en_fup_0000029094_20190109_203132,other report ,8,08/01/2019,08/01/2019,30/08/2018,Anhui,Tongling_Yi an District_Farm_Shun an Township,30.585,117.575,07/09/2018,24/10/2018,Swine,219.0,63.0,23,196,0.0
72,en_fup_0000029094_20190109_203132,other report ,9,08/01/2019,08/01/2019,30/08/2018,Anhui,Chizhou_Qingyang_Farm_Huangshan_Village Muzhen_Township,30.704,117.985,07/11/2018,23/12/2018,Swine,10286.0,96.0,47,10239,0.0
73,en_fup_0000029095_20190109_185637,other report ,1,08/01/2019,08/01/2019,21/09/2018,Jilin,Gongzhuling_Farm_Daxing Village Nanweizi_Township,43.293,124.433,17/09/2018,01/11/2018,Swine,484.0,56.0,56,428,0.0
73,en_fup_0000029095_20190109_185637,other report ,2,08/01/2019,08/01/2019,21/09/2018,Jilin,Songyuan_Changling_Backyard_Liangwo Village Liushui_Township,44.171,124.086,25/09/2018,09/11/2018,Swine,44.0,8.0,3,41,0.0
73,en_fup_0000029095_20190109_185637,other report ,3,08/01/2019,08/01/2019,21/09/2018,Jilin,Yanbian Korean _Autonomous Prefecture_Longjing City_Farm_Dama Village  Laotougou_Township,42.841,129.283,02/11/2018,20/12/2018,Swine,930.0,144.0,144,786,0.0
73,en_fup_0000029095_20190109_185637,other report ,4,08/01/2019,08/01/2019,21/09/2018,Jilin,Baishan_Hunjiang District_Forest_Daqinggou Village _Hongtuya Township,41.807,126.459,13/11/2018,30/12/2018,Wild boar:Suidae,NA,1.0,1,0,0.0
74,en_fup_0000029096_20190109_201006,other report ,1,08/01/2019,08/01/2019,20/10/2018,Yunnan,Zhaotong_Zhenxiong_Farm_Tianba Village Niuchang_Township,27.533,104.616,19/10/2018,27/12/2018,Swine,804.0,298.0,298,506,0.0
74,en_fup_0000029096_20190109_201006,other report ,2,08/01/2019,08/01/2019,20/10/2018,Yunnan,Zhaotong_Zhenxiong_Farm_Muxiang_Village Muxiang_Township,27.568,105.188,19/10/2018,27/12/2018,Swine,353.0,247.0,247,106,0.0
74,en_fup_0000029096_20190109_201006,other report ,3,08/01/2019,08/01/2019,20/10/2018,Yunnan,Pu''er City_Simao District_Backyard_Guanfang_Village Liushun_Township,22.619,100.719,27/10/2018,11/12/2018,Swine,229.0,5.0,1,228,0.0
74,en_fup_0000029096_20190109_201006,other report ,4,08/01/2019,08/01/2019,20/10/2018,Yunnan,Zhaotong_Weixin_Backyard_Heba Village Shuitian_Township,27.78,105.235,09/11/2018,28/12/2018,Swine,1.0,1.0,1,0,0.0
74,en_fup_0000029096_20190109_201006,other report ,5,08/01/2019,08/01/2019,20/10/2018,Yunnan,Kunming_Chenggong District_Slaughterhouse_Xiaowangjiayin,24.915,102.795,15/11/2018,29/12/2018,Swine,348.0,NA,0,348,0.0
75,en_fup_0000029097_20190103_140407,other report,1,02/01/2019,02/01/2019,05/09/2018,Heilongjiang,Jiamusi_Backyard_Fanjia Tun  Changqing_Township,46.821,130.273,01/09/2018,NA,Swine,87.0,39.0,12,75,0.0
75,en_fup_0000029097_20190103_140407,other report,2,02/01/2019,02/01/2019,05/09/2018,Heilongjiang,Jiamusi_Xiangyang District_Farm_Heping Village,46.778,130.367,03/09/2018,NA,Swine,203.0,26.0,10,193,0.0
75,en_fup_0000029097_20190103_140407,other report,3,02/01/2019,02/01/2019,05/09/2018,Heilongjiang,Harbin_Daowai District_Farm_Qinlao Village  Tuanjie_Township,45.769,126.818,14/11/2018,NA,Swine,900.0,269.0,269,631,0.0
75,en_fup_0000029097_20190103_140407,other report,4,02/01/2019,02/01/2019,05/09/2018,Heilongjiang,Heihe_Aihui District_Farm_The third management_section Jinhe Farm,50.151,127.266,28/11/2018,NA,Wild boar:Suidae,375.0,77.0,77,298,0.0
75,en_fup_0000029097_20190103_140407,other report,5,02/01/2019,02/01/2019,05/09/2018,Heilongjiang,Jixi_Jiguan District_Backyard_Hongtai Village _Hongxing Township,45.279,130.99,11/12/2018,NA,Swine,84.0,24.0,24,60,0.0
75,en_fup_0000029097_20190103_140407, (this report,6,02/01/2019,02/01/2019,05/09/2018,Heilongjiang,Suihua_Mingshui_Farm_Dongli Village _Shuangxing Township,47.0972,125.7338,29/12/2018,NA,Swine,73654.0,4686.0,3766,2405,0.0
76,en_fup_0000029218_20190118_140437,other report ,1,18/01/2019,18/01/2019,17/11/2018,Shanghai,Jinshan District_Farm_Zhongmin Village _Liangxia Township,30.812,121.143,15/11/2018,04/01/2019,Swine,314.0,50.0,11,303,0.0
77,en_fup_0000029221_20190118_173246,other report ,1,18/01/2019,18/01/2019,22/10/2018,Hunan,Changde_Taoyuan_Farm_Qinglin Township,28.963,111.485,28/09/2018,17/12/2018,Swine,268.0,208.0,31,237,0.0
77,en_fup_0000029221_20190118_173246,other report ,2,18/01/2019,18/01/2019,22/10/2018,Hunan,Yiyang_Taojiang_Farm_Daligang_Community Daligang_Township,28.483,111.887,03/10/2018,07/12/2018,Swine,546.0,44.0,17,529,0.0
77,en_fup_0000029221_20190118_173246,other report ,3,18/01/2019,18/01/2019,22/10/2018,Hunan,Huaihua_Yuanling_Farm_Gaoping_Village Qinglang_Township,28.747,110.857,15/10/2018,17/12/2018,Swine,146.0,25.0,22,124,0.0
77,en_fup_0000029221_20190118_173246,other report ,4,18/01/2019,18/01/2019,22/10/2018,Hunan,Changde_Taoyuan_Farm_Huangpodian Village _Qihe Township,29.101,111.429,22/10/2018,17/12/2018,Swine,12741.0,106.0,99,12642,0.0
77,en_fup_0000029221_20190118_173246,other report ,5,18/01/2019,18/01/2019,22/10/2018,Hunan,Loudi_Lianyuan_Backyard_Shiping_Village Qiaotouhe_Township,27.831,111.874,22/10/2018,23/12/2018,Swine,9.0,4.0,1,8,0.0
77,en_fup_0000029221_20190118_173246,other report ,6,18/01/2019,18/01/2019,22/10/2018,Hunan,Tujia and Miao _Autonomous Prefecture of_Xiangxi_Baojing_Farm_Datian Village Qianling_Township,28.684,109.646,31/10/2018,20/12/2018,Swine,119.0,11.0,4,115,0.0
77,en_fup_0000029221_20190118_173246,other report ,7,18/01/2019,18/01/2019,22/10/2018,Hunan,Huaihua_Hecheng District_Backyard_Qiujia Village _Huangjing´ao Township,27.611,109.945,14/11/2018,05/01/2019,Swine,73.0,61.0,55,18,0.0
78,en_fup_0000029222_20190118_142522,other report ,1,18/01/2019,18/01/2019,07/11/2018,Hubei,Huanggang_Luotian_Farm_Baihewan Village  Hepu_Township,31.012,115.439,30/10/2018,26/12/2018,Swine,821.0,22.0,4,817,0.0
78,en_fup_0000029222_20190118_142522,other report ,2,18/01/2019,18/01/2019,07/11/2018,Hubei,Huanggang_Wuxue City_Backyard_Lidingwu_Cummunity Wuxue_Office,29.851,115.524,05/11/2018,28/12/2018,Swine,280.0,7.0,6,274,0.0
78,en_fup_0000029222_20190118_142522,other report ,3,18/01/2019,18/01/2019,07/11/2018,Hubei,Huanggang_Xishui_Farm_Fangpu Village Lanxi_Township,30.344,115.178,12/11/2018,03/01/2019,Swine,636.0,24.0,13,623,0.0
78,en_fup_0000029222_20190118_142522,other report ,4,18/01/2019,18/01/2019,07/11/2018,Hubei,Huangshi_Yangxin_Backyard_Shizhen_Village Chengdongxinqu_District,29.889,115.205,22/11/2018,10/01/2019,Swine,63.0,9.0,5,58,0.0
79,en_fup_0000029223_20190118_141336,other report ,1,18/01/2019,18/01/2019,08/11/2018,Jiangxi,Shangrao_Wannian_Farm_Huangying Village _Chenying Township,28.686,117.029,07/11/2018,23/12/2018,Swine,154.0,49.0,49,105,0.0
79,en_fup_0000029223_20190118_141336,other report ,2,18/01/2019,18/01/2019,08/11/2018,Jiangxi,Shangrao_Boyang_Farm_Hongyuan Village  Lutian_Township,28.94,116.895,16/11/2018,29/12/2018,Swine,150.0,10.0,10,140,0.0
79,en_fup_0000029223_20190118_141336,other report ,3,18/01/2019,18/01/2019,08/11/2018,Jiangxi,Jiujiang_Chaisang District_Farm_Matou Village  Mahuiling_Township,29.454,115.87,29/11/2018,10/01/2019,Swine,159.0,16.0,4,155,0.0
80,en_fup_0000029224_20190118_143250,other report ,1,18/01/2019,18/01/2019,12/10/2018,Tianjin,Jizhou District_Farm_Laosongzhuang Village _Houjiaying Township,39.815,117.308,10/10/2018,23/12/2018,Swine,639.0,292.0,189,450,0.0
80,en_fup_0000029224_20190118_143250,other report ,2,18/01/2019,18/01/2019,12/10/2018,Tianjin,Ninghe District_Farm_Wangzhuangzi Vilage _Panzhuang Township,39.301,117.387,26/11/2018,12/01/2019,Swine,361.0,67.0,67,294,0.0
81,en_fup_0000029262_20190121_182326,other report ,1,19/01/2019,21/01/2019,13/01/2019,Gansu,Qingyang_Qingcheng_Backyard_Zhongping Village Yima_Township,35.9066,107.6884,07/01/2019,NA,Swine,109.0,44.0,9,100,0.0
81,en_fup_0000029262_20190121_182326, (this report ,2,19/01/2019,21/01/2019,13/01/2019,Gansu,Lanzhou_Qilihe District_Backyard_Penjiaping Township,36.0366,103.7305,13/01/2019,NA,Swine,190.0,143.0,37,153,0.0
82,en_fup_0000029568_20190225_190606,other report ,1,25/02/2019,25/02/2019,02/12/2018,Shaanxi,Xi an_Huyi District_Farm_Liudong Village  Weifeng_Township,34.196,108.627,27/11/2018,17/01/2019,Swine,1389.0,205.0,79,1310,0.0
82,en_fup_0000029568_20190225_190606,other report ,2,25/02/2019,25/02/2019,02/12/2018,Shaanxi,Xi an_Chang an District_Farm_Dongjiangpo Village _Duqu Township,34.084,109.035,27/11/2018,17/01/2019,Swine,3442.0,85.0,64,3378,0.0
82,en_fup_0000029568_20190225_190606,other report ,3,25/02/2019,25/02/2019,02/12/2018,Shaanxi,Yulin_Shenmu_Backyard_Nihe Village  Yongxing_Township,38.882,110.509,03/12/2018,21/01/2019,Swine,33.0,19.0,19,14,0.0
83,en_fup_0000029569_20190225_175019,other report ,1,25/02/2019,25/02/2019,12/12/2018,Qinghai,Xining_Datong Hui and Tu _Autonomous County_Backyard_Daitongzhuang Village _Shuobei Township,36.949,101.712,10/12/2018,23/01/2019,Swine,365.0,14.0,14,351,0.0
84,en_fup_0000029570_20190225_201145,other,1,25/02/2019,25/02/2019,14/09/2018,Inner Mongolia,XilinGol League_Abaga_Backyard_Bieligutai Township,44.017,114.581,12/09/2018,19/12/2018,Swine,237.0,16.0,16,221,0.0
84,en_fup_0000029570_20190225_201145,other,2,25/02/2019,25/02/2019,14/09/2018,Inner Mongolia,XilinGol League_Zhenglan_Backyard_Caiyuan Village Shangdu_Township,42.151,116.003,15/09/2018,19/12/2018,Swine,159.0,14.0,8,151,0.0
84,en_fup_0000029570_20190225_201145,other,3,25/02/2019,25/02/2019,14/09/2018,Inner Mongolia,Hinggan League_Horqin Right Wing _Middle Banner_Backyard_Barenzelimu Township,42.011,120.003,17/09/2018,19/12/2018,Swine,138.0,23.0,22,116,0.0
84,en_fup_0000029570_20190225_201145,other,4,25/02/2019,25/02/2019,14/09/2018,Inner Mongolia,Huhhot_Huimin District_Slaughterhouse_Gangtielu Street,40.481,111.374,23/09/2018,30/01/2019,Swine,388.0,4.0,2,386,0.0
84,en_fup_0000029570_20190225_201145,other,5,25/02/2019,25/02/2019,14/09/2018,Inner Mongolia,Baotou_Kundulun District_Backyard_Qiankouzi Village Kunbei_Township,40.709,109.826,21/11/2018,30/01/2019,Swine,88.0,69.0,53,35,0.0
85,en_fup_0000029571_20190225_173609,other report ,1,25/02/2019,25/02/2019,04/11/2018,Chongking,Fengdu_Farm_Baojialu Village Xingyi_Township,29.874,107.78,02/11/2018,21/12/2018,Swine,309.0,3.0,3,306,0.0
85,en_fup_0000029571_20190225_173609,other report ,2,25/02/2019,25/02/2019,04/11/2018,Chongking,Bishan District_Backyard_Tuanba Village Dalu_Township,29.753,106.246,13/12/2018,31/01/2019,Swine,23.0,8.0,3,20,0.0
86,en_fup_0000029572_20190225_192126,other report ,1,25/02/2019,25/02/2019,25/10/2018,Guizhou,Bijie_Hezhang_Backyard_Pingzi Village Zhezhuang_Township,27.326,104.841,14/10/2018,13/12/2018,Swine,10.0,8.0,8,2,0.0
86,en_fup_0000029572_20190225_192126,other report ,2,25/02/2019,25/02/2019,25/10/2018,Guizhou,Bijie_Qixingguan District_Backyard_Xingou_Village Qingchang_Township,27.369,105.057,24/10/2018,13/12/2018,Swine,49.0,25.0,25,24,0.0
86,en_fup_0000029572_20190225_192126,other report ,3,25/02/2019,25/02/2019,25/10/2018,Guizhou,Guiyang_Baiyun District_Backyard_Xiaohe Village Dula_Township,26.681,106.747,06/12/2018,24/01/2019,Swine,190.0,5.0,5,185,0.0
86,en_fup_0000029572_20190225_192126,other report ,4,25/02/2019,25/02/2019,25/10/2018,Guizhou,Buyi and Miao _Autonomous Prefecture of_QianNan_Longli_Farm_Yangchangsi_Village Xingshi_Township,26.583,106.887,18/12/2018,03/02/2019,Swine,156.0,42.0,42,114,0.0
87,en_fup_0000029573_20190225_184210,other report ,1,25/02/2019,25/02/2019,19/12/2018,Guangdong,Zhuhai_Xiangzhou District_Slaughterhouse_Qianshan Slaughter house,22.267,113.522,17/12/2018,11/01/2019,Swine,50.0,11.0,11,39,0.0
87,en_fup_0000029573_20190225_184210,other report ,2,25/02/2019,25/02/2019,19/12/2018,Guangdong,Guangzhou_Huangpu District_Farm_Jingxia Village Jiulong_Township,23.355,113.563,21/12/2018,03/02/2019,Swine,6027.0,30.0,9,6018,0.0
87,en_fup_0000029573_20190225_184210,other report ,3,25/02/2019,25/02/2019,19/12/2018,Guangdong,Huizhou_Boluo_Backyard_Hutou Village Longxi_Township,23.094,114.118,23/12/2018,06/02/2019,Swine,90.0,11.0,11,79,0.0
88,en_fup_0000029574_20190225_175755,other report ,1,25/02/2019,25/02/2019,08/11/2018,Fujian,Putian_Chengxiang District_Farm_Qingshan Village _Linchuan Township,25.297,119.028,06/11/2018,22/12/2018,Swine,4521.0,85.0,85,4436,0.0
88,en_fup_0000029574_20190225_175755,other report ,2,25/02/2019,25/02/2019,08/11/2018,Fujian,Sanming_Youxi_Farm_Yongkou Village  Xibin_Township,26.284,118.35,18/12/2018,01/02/2019,Swine,11950.0,27.0,27,11923,0.0
88,en_fup_0000029574_20190225_175755,other report ,3,25/02/2019,25/02/2019,08/11/2018,Fujian,Nanping_Yanping District_Farm_Yangkeng Village _Wangtai Township,26.592,117.931,22/12/2018,07/02/2019,Swine,5776.0,35.0,11,5765,0.0
89,en_fup_0000029694_20190226_144250,other,1,26/02/2019,26/02/2019,14/09/2018,Inner Mongolia,XilinGol League_Abaga_Backyard_Bieligutai Township,44.017,114.581,12/09/2018,19/12/2018,Swine,237.0,16.0,16,221,0.0
89,en_fup_0000029694_20190226_144250,other,2,26/02/2019,26/02/2019,14/09/2018,Inner Mongolia,XilinGol League_Zhenglan_Backyard_Caiyuan Village Shangdu_Township,42.151,116.003,15/09/2018,19/12/2018,Swine,159.0,14.0,8,151,0.0
89,en_fup_0000029694_20190226_144250,other,3,26/02/2019,26/02/2019,14/09/2018,Inner Mongolia,Hinggan League_Horqin Right Wing _Middle Banner_Backyard_Barenzelimu Township,42.011,120.003,17/09/2018,19/12/2018,Swine,138.0,23.0,22,116,0.0
89,en_fup_0000029694_20190226_144250,other,4,26/02/2019,26/02/2019,14/09/2018,Inner Mongolia,Huhhot_Huimin District_Slaughterhouse_Gangtielu Street,40.481,111.374,23/09/2018,30/01/2019,Swine,388.0,4.0,2,386,0.0
89,en_fup_0000029694_20190226_144250,other,5,26/02/2019,26/02/2019,14/09/2018,Inner Mongolia,Baotou_Kundulun District_Backyard_Qiankouzi Village Kunbei_Township,40.709,109.826,21/11/2018,30/01/2019,Swine,88.0,69.0,53,35,0.0
89,en_fup_0000029694_20190226_144250, (this,6,26/02/2019,26/02/2019,14/09/2018,Inner Mongolia,Hulun Buir_Ewenki Autonomous_Banner_Farm_Sandol forest farm,47.85427,120.265,22/02/2019,NA,Wild boar:Suidae,222.0,222.0,210,12,0.0
90,en_fup_0000029774_20190311_140102,other report ,1,11/03/2019,11/03/2019,18/02/2019,Guangxi,Beihai_Yinghai District_Farm_Pingyang_Village Pingyang_Township,21.4958,109.2108,11/02/2019,NA,Swine,23555.0,1629.0,924,9420,0.0
90,en_fup_0000029774_20190311_140102, (this report ,2,11/03/2019,11/03/2019,18/02/2019,Guangxi,Guigang_Gangnan District_Farm_Hubiao Village Xintang_Township,22.98111,109.62388,04/03/2019,NA,Swine,3172.0,24.0,20,3152,0.0
91,en_fup_0000029831_20190314_125755,other report ,1,13/03/2019,14/03/2019,15/11/2018,Sichuan,Yibin_Gao County_Backyard_Gualu Village Qingfu_Township,28.465,104.544,13/11/2018,NA,Swine,40.0,16.0,10,30,0.0
91,en_fup_0000029831_20190314_125755,other report ,2,13/03/2019,14/03/2019,15/11/2018,Sichuan,Chengdu_Xinjing_Farm_Tiangong_Community Puxing_Township,30.436,103.918,13/11/2018,NA,Swine,110.0,27.0,13,97,0.0
91,en_fup_0000029831_20190314_125755,other report ,3,13/03/2019,14/03/2019,15/11/2018,Sichuan,Luzhou_Hejiang_Farm_Wangwan Village _Zhenlong Township,28.807,105.78,27/11/2018,NA,Swine,26241.0,68.0,68,26173,0.0
91,en_fup_0000029831_20190314_125755,other report ,4,13/03/2019,14/03/2019,15/11/2018,Sichuan,Bazhong_Bazhou District_Farm_Gongqiao Village _Longbei Township,31.584,106.771,06/12/2018,NA,Swine,219.0,51.0,19,200,0.0
91,en_fup_0000029831_20190314_125755,other report ,5,13/03/2019,14/03/2019,15/11/2018,Sichuan,Mianyang_Yanting_Farm_Xianshui Village _Fengling Township,31.225,105.397,12/12/2018,NA,Swine,210.0,35.0,26,184,0.0
